tconst,title,startYear,endYear,runtime,genres,avgRating,numVotes,Rating,Summary,ReleaseDate,Genre,Language,Poster
tt4154858,Inhumans,2017,2017,43,Action Adventure Sci-Fi,4.9,29015,,An isolated community of superhumans fight to protect themselves.,"Release dateSeptember 29, 2017 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BZjI0ODcwODAtYzZjOS00ZmQ3LWE4ZGItOWMwYTI0Y2YyYWMyXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt12235718,Hellbound,2021,\N,25,Crime Drama Fantasy,6.6,28990,,"Unearthly beings deliver bloody condemnations, sending individuals to hell and giving rise to a religious group founded on the idea of divine justice.","Release dateNovember 19, 2021 (United States)",,Korean,"https://m.media-amazon.com/images/M/MV5BNzU1ODk0ZWUtMzdkYS00YmI2LWI1NjItOTg0NjQxNGY5MmNlXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt4975856,Future Man,2017,2020,30,Action Adventure Comedy,7.6,28989,,"Josh Futturman, a janitor by day and a gamer by night, is recruited by mysterious visitors to travel through time to prevent the extinction of humanity.","Release dateNovember 14, 2017 (United States)",,EnglishSpanishRussianMohawkFrenchJapaneseGerman,"https://m.media-amazon.com/images/M/MV5BMWQ5MjE3NjMtOGZhOS00YmUxLWFhOTUtYjQ5YjUxOTZkNjBjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt9679542,Dr. Stone,2019,\N,24,Action Adventure Animation,8.1,28974,,"Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization.","Release dateAugust 25, 2019 (United States)",,EnglishPortugueseSpanishItalianGermanFrenchJapanese,"https://m.media-amazon.com/images/M/MV5BYmU2MzEyMjAtOTQ5Yy00NGMxLTg0NmItMTQ0ZTM5OGY0NjUzXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt9064858,Them,2021,\N,45,Drama Horror Thriller,7.5,28941,,"Anthology horror series with varying characters and locations by season, featuring different aspects of the horror genre.","Release dateApril 9, 2021 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BODFhYTFkZjMtNWY2NC00N2EzLWI5MzctNGQ2ZGM4NDVjOWM4XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt6660498,Devilman: Crybaby,2018,2018,25,Action Animation Drama,7.6,28935,,"With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo.","Release dateJanuary 5, 2018 (United States)",,JapaneseEnglish,"https://m.media-amazon.com/images/M/MV5BZjYxMGRlZDAtYTU5Ny00NzhmLTgzYzgtNjNjNTZiZDQ5ZjU0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR5,0,190,281_.jpg"
tt5994364,Guardian: The Lonely and Great God,2016,2017,120,Comedy Drama Fantasy,8.6,28932,,"In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.","Release dateDecember 2, 2016 (South Korea)",,Korean,"https://m.media-amazon.com/images/M/MV5BZTg0YmQxZTgtMzgwYi00N2NhLTlkMWYtOWYwNDA1YjkxMmViL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_QL75_UY281_CR3,0,190,281_.jpg"
tt0330251,The L Word,2004,2009,50,Drama Romance,7.7,28928,,"Follows the lives and loves of a small, close-knit group of lesbian women living in Los Angeles as well as the friends and family members that either support or loathe them.","Release dateJanuary 18, 2004 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BNDgyODk4MTktODE3YS00YTUzLTlmYTgtOGJmZjMzZGM5NDBlXkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_QL75_UY281_CR11,0,190,281_.jpg"
tt3551096,Fresh Off the Boat,2015,2020,22,Comedy,7.8,28891,,A Taiwanese family makes their way in America during the 1990s.,"Release dateFebruary 4, 2015 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BYjA1NWQyNzYtZTlmNy00YjYzLWJlNDUtMjA5ZWY2YTM2M2ZlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt14168162,Bosch: Legacy,2022,\N,50,Crime Drama,8.4,28822,,"Bosch embarks on the next chapter of his career and finds himself working with his one-time enemy, Honey Chandler.","Release dateMay 6, 2022 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMGE4NGVlNTctYWRiYy00MmYwLTkwZmItZDMwN2QwZDc5MDc0XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX190_CR0,2,190,281_.jpg"
